model,label_file,ari,n_messages
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_ruleschange_thisiscere.csv",1.0,0
231806,labels_20250227_231806_wizardlm-conv-dec-lea1_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea2_thisiscere.csv",1.0,0
230825,labels_20250227_230825_['mistral']-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
192750,labels_20250227_192750_deepseek-r1:7b-conversation_detection_prompt_withoutCSV_thisiscere.csv,0.17804041174227983,33
094941,labels_20250228_094941_llama3.3:70b-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conv-dec-lea2_thisiscere.csv,1.0,0
180822,labels_20250224_180822_mistral7b_thisiscere.csv,0.1927750076320342,27
231343,labels_20250227_231343_mistral-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-conv-dec-lea1_thisiscere.csv,1.0,0
120431,labels_20250228_120431_llama3.3:70b-instruct-q2_K-prompt_ale_1_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conversation_detection_prompt_thisiscere.csv,1.0,0
101739,labels_20250228_101739_deepseek-llm:67b-prompt_ale_3_thisiscere.csv,0.13516705398300888,47
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_2_thisiscere.csv",1.0,0
231417,labels_20250227_231417_mistral-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.8652871839336348,67
134744,labels_20250228_134744_llama3.3:70b-instruct-q2_K-*_thisiscere.csv,0.2958059936052341,67
231417,labels_20250227_231417_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
225313,labels_20250227_225313_llama3.3:70b-conv-dec-lea1_thisiscere.csv,0.22635231579465473,67
231343,labels_20250227_231343_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_1_thisiscere.csv",1.0,0
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.2194934765924789,27
231417,labels_20250227_231417_mistral-conv-dec-lea1_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea2_thisiscere.csv,1.0,0
